Algorithm,K=1,K=10,K=50,K=100,K=1000,K=10000,K=100000,
Thompson,4.576444625854492,2.593541145324707,1.7527484893798828,1.3115930557250977,0.6644940376281738,0.6281051158905029,0.6341314816474914,
SeedSampling,1.5130043029785156,1.6606569290161133,1.0022687911987305,0.9202265739440918,0.9273788928985596,0.9163799047470093,0.9452716517448426,
UCRL,1.4874935150146484,1.5200138092041016,0.9188747406005859,0.8695650100708008,0.9099524021148682,0.7611568689346313,0.9951712250709533,
