Algorithm,K=1,K=10,K=50,K=100,K=1000,
SeedSampling,0.49609375,0.676171875,0.001015625,0.0003125,0.0008359375,
Thompson,0.0,0.0,0.0,0.0,0.0002578125,
UCRL,0.0,0.0,0.0,0.0,0.00025,
