Algorithm,K=1,K=10,K=100,K=1000,
Seed TD,1032.1319103240967,100.4723072052002,33.884923458099365,24.324731826782227,
Seed LSVI,201.96771621704102,47.23010063171387,26.39873504638672,23.96004033088684,
