Algorithm,K=1,K=10,K=50,K=100,K=1000,
Thompson,731.3515625,0.001171875,0.000390625,0.0001953125,0.00246875,
SeedSampling,0.0,0.0,0.0,0.0,0.00070703125,
UCRL,0.0,0.0,0.0,0.0,1.171875e-05,
