Algorithm,K=1,K=10,K=50,K=100,K=1000,
SeedSampling,155.14453125,8.197265625,0.116640625,0.0148046875,0.021390625,
Thompson,0.0,-0.023828125,0.0,0.0,0.00048828125,
UCRL,-0.23828125,0.0,0.0,0.0,0.00058984375,
