Algorithm,K=1,K=10,K=50,K=100,K=1000,
SeedSampling,142.35377311706543,53.43954563140869,52.93461322784424,57.2567343711853,62.7887065410614,
Thompson,24.600744247436523,14.567160606384277,13.610262870788574,13.454122543334961,13.233341455459595,
UCRL,23.59175682067871,12.231254577636719,11.442117691040039,11.277854442596436,11.158344507217407,
