Algorithm,K=1,K=10,K=50,K=100,
Seed TD,12.929677963256836,197.59397506713867,600.1121234893799,898.3692646026611,
Seed LSVI,21.75617218017578,86.64376735687256,429.49912548065186,909.1872596740723,
