K,time_per_agent,throughput_per_agent,memory_per_agent,gpu_per_agent
10,7200.373983383179,0.00013888167507795734,31.347265625,0
30,11529.29756641388,8.673555298920471e-05,303.33489583333335,0
100,12141.661357879639,8.236105179716816e-05,118.39015625,0
300,12709.799722035727,7.867944592913147e-05,1.258984375,0
