K,time_per_agent,throughput_per_agent,memory_per_agent,gpu_per_agent
10,45943.17989349365,2.1766016246986363e-05,138.758203125,0
30,45717.397006352745,2.1873511299452225e-05,27.038671875,0
100,44798.37107896805,2.2322240204610482e-05,15.176875,0
300,45118.23572874069,2.216398721821012e-05,25.552369791666667,0
