Algorithm,K=1,K=10,K=50,K=100,
Seed TD,222.37038612365723,104.64751720428467,100.12970924377441,125.4965353012085,
Seed LSVI,54.03280258178711,191.83683395385742,218.52243423461914,242.2454047203064,
