Algorithm,K=1,K=10,K=50,K=100,K=1000,
Thompson,455.61885833740234,126.86858177185059,116.42990112304688,112.33247995376587,109.98256325721741,
SeedSampling,1187.9017353057861,628.423261642456,581.5683698654175,576.802008152008,577.3526463508606,
UCRL,1160.7704162597656,633.472466468811,584.0831804275513,588.259539604187,584.5243554115295,
