Algorithm,K=1,K=10,K=50,K=100,K=1000,
Thompson,179.00390625,1.074609375,0.002734375,0.0015625,0.000171875,
SeedSampling,49.18359375,1.418359375,0.002890625,0.002109375,0.00148046875,
UCRL,0.0,0.0,0.0,0.0,-0.00025,
