Algorithm,K=1,K=10,K=50,K=100,K=1000,
Thompson,309.0,0.0,0.0,0.0,0.002,
SeedSampling,0.0,0.0,0.0,0.0,0.0,
UCRL,0.0,0.0,0.0,0.0,0.0,
