Algorithm,K=1,K=10,K=50,K=100,
SeedSampling,1021.1875438690186,683.3346605300903,1845.330605506897,3345.4935550689697,
Thompson,335.4156017303467,123.95339012145996,111.43227577209473,115.37309408187866,
UCRL,284.684419631958,110.94980239868164,97.43443012237549,97.16449975967407,
